level	reticle(struct).row	reticle(struct).col	reticle(struct).prober	reticle(struct).custom
1	0	3	"(3,7)"	41
1	0	4	"(4,7)"	51
1	0	5	"(5,7)"	61
1	0	6	"(6,7)"	71
1	1	1	"(1,6)"	22
1	1	2	"(2,6)"	32
1	1	3	"(3,6)"	42
1	1	4	"(4,6)"	52
1	1	5	"(5,6)"	62
1	1	6	"(6,6)"	72
1	1	7	"(7,6)"	82
1	1	8	"(8,6)"	92
1	2	0	"(0,5)"	13
1	2	1	"(1,5)"	23
1	2	2	"(2,5)"	33
1	2	3	"(3,5)"	43
1	2	4	"(4,5)"	53
1	2	5	"(5,5)"	63
1	2	6	"(6,5)"	73
1	2	7	"(7,5)"	83
1	2	8	"(8,5)"	93
1	2	9	"(9,5)"	103
1	3	0	"(0,4)"	14
1	3	1	"(1,4)"	24
1	3	2	"(2,4)"	34
1	3	3	"(3,4)"	44
1	3	4	"(4,4)"	54
1	3	5	"(5,4)"	64
1	3	6	"(6,4)"	74
1	3	7	"(7,4)"	84
1	3	8	"(8,4)"	94
1	3	9	"(9,4)"	104
1	4	0	"(0,3)"	15
1	4	1	"(1,3)"	25
1	4	2	"(2,3)"	35
1	4	3	"(3,3)"	45
1	4	4	"(4,3)"	55
1	4	5	"(5,3)"	65
1	4	6	"(6,3)"	75
1	4	7	"(7,3)"	85
1	4	8	"(8,3)"	95
1	4	9	"(9,3)"	105
1	5	0	"(0,2)"	16
1	5	1	"(1,2)"	26
1	5	2	"(2,2)"	36
1	5	3	"(3,2)"	46
1	5	4	"(4,2)"	56
1	5	5	"(5,2)"	66
1	5	6	"(6,2)"	76
1	5	7	"(7,2)"	86
1	5	8	"(8,2)"	96
1	5	9	"(9,2)"	106
1	6	1	"(1,1)"	27
1	6	2	"(2,1)"	37
1	6	3	"(3,1)"	47
1	6	4	"(4,1)"	57
1	6	5	"(5,1)"	67
1	6	6	"(6,1)"	77
1	6	7	"(7,1)"	87
1	6	8	"(8,1)"	97
2	0	0	SN0101	SN0101
2	0	1	SN0201	SN0201
2	0	2	SN0301	SN0301
2	1	0	SN0102	SN0102
2	1	1	SN0202	SN0202
2	1	2	SN0302	SN0302
2	2	0	SN0103	SN0103
2	2	2	SN0303	SN0303
2	3	0	SN0104	SN0104
2	3	1	SN0204	SN0204
2	3	2	SN0304	SN0304
2	4	0	SN0105	SN0105
2	4	1	SN0205	SN0205
2	4	2	SN0305	SN0305
2	5	0	SN0106	SN0106
2	5	1	SN0206	SN0206
2	5	2	SN0306	SN0306
